,Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,geo_input,address_candidates
132,Buildable Lots- 1&2,Dorchester,2124,15,0,15,6.0,0.0,6.0,9,0,9.0,Ownership,Private,,,Buildable Lots- 1&2 Dorchester,"['535-573 Summer St, Boston, MA 02210, United States']"
133,Buildable Lots- 3&4,Dorchester,,18,0,18,8.0,0.0,8.0,10,0,10.0,Ownership,Private,,,Buildable Lots- 3&4 Dorchester,"['65 Brainerd Rd, Allston, MA 02134, United States']"
134,Buildable Lots- 5,Dorchester,2124,9,0,9,0.0,0.0,0.0,9,0,9.0,Ownership,Private,,,Buildable Lots- 5 Dorchester,"['5 Allstate Rd, Boston, MA 02125, United States']"
135,Buildable Lots- 6,Mattapan,2126,12,0,12,0.0,0.0,0.0,12,0,12.0,Ownership,Private,,,Buildable Lots- 6 Mattapan,[]
136,Building 104,Charlestown,2129,46,46,0,0.0,0.0,0.0,46,46,0.0,Rental,Private,,,Building 104 Charlestown,"['100 Ferrin St, Charlestown, MA 02129, United States']"
137,Builduing 33 at Navy Yard,Charlestown,2129,47,47,0,41.0,41.0,0.0,6,6,0.0,Rental,Private,,,Builduing 33 at Navy Yard Charlestown,"['33 3rd Ave, Boston, MA 02129, United States', '1st Ave &, 3rd St, Boston, MA 02129, United States']"
138,Burbank Gardens,Fenway,2115,52,52,0,0.0,0.0,0.0,52,52,0.0,Rental,Private,,Y,Burbank Gardens Fenway,"['Burbank St, Boston, MA 02115, USA']"
139,Burton Apts (18u),Roxbury,2120,18,18,0,0.0,0.0,0.0,18,18,0.0,Rental,Private,,Y,Burton Apts (18u) Roxbury,"['2565 Washington St, Boston, MA 02119, United States']"
140,Burton-Dudley,Roxbury,2119,16,16,0,0.0,0.0,0.0,16,16,0.0,Rental,Private,,,Burton-Dudley Roxbury,"['337 Newbury St, Boston, MA 02115, United States']"
141,Call Carolina Homes,Jamaica Plain,2130,8,0,8,0.0,0.0,0.0,8,0,8.0,Ownership,Private,,,Call Carolina Homes Jamaica Plain,"['619 Centre St, Jamaica Plain, MA 02130, United States']"
142,Callender|Floyd|Stratton NHI 1,Dorchester,2124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,Callender|Floyd|Stratton NHI 1 Dorchester,[]
143,Callender|Floyd|Stratton NHI 2,Dorchester,2124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,Callender|Floyd|Stratton NHI 2 Dorchester,[]
144,Callender|Floyd|Stratton NHI 3,Dorchester,2124,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,Callender|Floyd|Stratton NHI 3 Dorchester,[]
145,Callender|Floyd|Stratton NHI 4,Mattapan,2124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,Callender|Floyd|Stratton NHI 4 Mattapan,"['Callender St, Boston, MA 02124, USA', 'Stratton St, Boston, MA 02124, USA']"
146,Callender|Floyd|Stratton NHI 5,Mattapan,2124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,Callender|Floyd|Stratton NHI 5 Mattapan,"['Callender St, Boston, MA 02124, USA', 'Stratton St, Boston, MA 02124, USA']"
147,Callender|Floyd|Stratton NHI 6,Dorchester,2124,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,Callender|Floyd|Stratton NHI 6 Dorchester,[]
148,Callender|Floyd|Stratton NHI 7,Dorchester,2124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,,Callender|Floyd|Stratton NHI 7 Dorchester,[]
149,Callender|Floyd|Stratton NHI 8,Mattapan,2124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,Callender|Floyd|Stratton NHI 8 Mattapan,"['Callender St, Boston, MA 02124, USA', 'Stratton St, Boston, MA 02124, USA']"
150,Callender|Floyd|Stratton NHI 9,Dorchester,2124,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,Callender|Floyd|Stratton NHI 9 Dorchester,[]
151,Callender|Tucker NHI 1,Dorchester,2124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,,Callender|Tucker NHI 1 Dorchester,[]
152,Callender|Tucker NHI 2,Dorchester,2124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,Callender|Tucker NHI 2 Dorchester,[]
153,Callender|Tucker NHI 3,Dorchester,2124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,,Callender|Tucker NHI 3 Dorchester,[]
154,Callender|Tucker NHI 4,Dorchester,2124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,,Callender|Tucker NHI 4 Dorchester,[]
155,Camden Street (200-2),Roxbury,2118,72,72,0,0.0,0.0,0.0,72,72,0.0,Rental,Public,,,Camden Street (200-2) Roxbury,"['200 Camden St, Boston, MA 02118, USA']"
156,Camfield Gardens,Roxbury,2118,102,102,0,0.0,0.0,0.0,102,102,0.0,Rental,Private,,Y,Camfield Gardens Roxbury,"['The Paulette K Ford Community Center 85 Lenox Street Paulette, Ford Way, Boston, MA 02118, United States']"
157,Capen Green,Dorchester,2124,18,0,18,0.0,0.0,0.0,18,0,18.0,Ownership,Private,,,Capen Green Dorchester,"['Capen St, Boston, MA 02124, USA']"
158,Cardella (VUP),South Boston,2127,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,Cardella (VUP) South Boston,"['443 W Broadway, South Boston, MA 02127, United States']"
159,Cardinal Medeiros Manor,Roxbury,2125,54,54,0,0.0,0.0,0.0,54,54,0.0,Rental,Private,Y,Y,Cardinal Medeiros Manor Roxbury,"['11 Woodcliff St, Boston, MA 02125, United States']"
160,Caritas Centre St,Dorchester,2122,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,,Caritas Centre St Dorchester,"['289 Centre St, Dorchester, MA 02122, United States']"
161,Caritas Centre St. II,Dorchester,2124,11,11,0,0.0,0.0,0.0,11,11,0.0,Rental,Private,,,Caritas Centre St. II Dorchester,"['289 Centre St, Dorchester, MA 02122, United States']"
162,Caritas SRO Refinance,Dorchester,2125,24,24,0,0.0,0.0,0.0,24,24,0.0,Rental,Private,,,Caritas SRO Refinance Dorchester,"['289 Centre St, Dorchester, MA 02122, United States']"
163,Carlton House AKA: Forward Inc. rental,Jamaica Plain,2119,44,44,0,0.0,0.0,0.0,44,44,0.0,Rental,Private,,,Carlton House AKA: Forward Inc. rental Jamaica Plain,"['197 Green St, Jamaica Plain, MA 02130, United States']"
164,Carlton Wharf,East Boston,2128,30,0,30,0.0,0.0,0.0,30,0,30.0,Ownership,Private,,,Carlton Wharf East Boston,"['99-111 Summer St, Boston, MA 02128, United States', '256 Marginal St, Boston, MA 02128, United States']"
165,Carol Ave. Limited Coop,Brighton,2135,33,33,0,9.0,9.0,0.0,24,24,0.0,Rental,Private,,,Carol Ave. Limited Coop Brighton,"['18R Shepard St Suite 100, Boston, MA 02135, United States']"
166,Carroll (VUP),Roxbury,2125,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,Carroll (VUP) Roxbury,"['169 Cummins Hwy, Roslindale, MA 02131, United States']"
167,Carvalho (VUP),Dorchester,2122,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,Carvalho (VUP) Dorchester,"['150 Mt Vernon St #560, Dorchester, MA 02125, United States', 'Fields Corner Business Lab, 1452 Dorchester Ave, 4th fl, Boston, MA 02122, United States']"
168,Cary Cottage,Roxbury,2119,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,,Cary Cottage Roxbury,"['183 Roxbury St, Boston, MA 02119, United States']"
169,Casa Familias Unidas,Roxbury,2119,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,,Casa Familias Unidas Roxbury,"['302 Eustis St, Boston, MA 02119, United States']"
170,Casa Maria,North End,2113,84,84,0,0.0,0.0,0.0,84,84,0.0,Rental,Private,Y,Y,Casa Maria North End,"['130 Endicott St, Boston, MA 02113, United States']"
171,Casa Nueva Vida,Jamaica Plain,2130,7,7,0,0.0,0.0,0.0,7,7,0.0,Rental,Private,,,Casa Nueva Vida Jamaica Plain,"['53 Glen Rd, Boston, MA 02130, United States']"
172,Casas Borinquen,South End,2118,36,36,0,0.0,0.0,0.0,36,36,0.0,Rental,Private,,Y,Casas Borinquen South End,"['405 Shawmut Ave, Boston, MA 02118, United States', '640 Tremont St, Boston, MA 02118, United States']"
173,Cass House,Roxbury,2121,111,111,0,0.0,0.0,0.0,111,111,0.0,Rental,Private,,,Cass House Roxbury,"['12 Dade St, Roxbury, MA 02119, United States']"
174,Castle Square,South End,2116,500,500,0,0.0,0.0,0.0,500,500,0.0,Rental,Private,,Y,Castle Square South End,"['484 Tremont St, Boston, MA 02116, United States']"
175,Cathedral (2-6),South End,2118,414,414,0,0.0,0.0,0.0,414,414,0.0,Rental,Public,,,Cathedral (2-6) South End,[]
176,CATHERINE H GALLAGHER COOPERATIVE HOUSING,Jamaica Plain,2130,34,34,0,0.0,0.0,0.0,34,34,0.0,Rental,Private,,Y,CATHERINE H GALLAGHER COOPERATIVE HOUSING Jamaica Plain,"['209 Heath St, Jamaica Plain, MA 02130, United States']"
177,Ceinture (20 W Fifth),South Boston,2127,54,0,54,44.0,0.0,44.0,10,0,10.0,Ownership,Private,,,Ceinture (20 W Fifth) South Boston,[]
178,Central Boston Elder Services,Roxbury,2119,57,57,0,0.0,0.0,0.0,57,57,0.0,Rental,Private,Y,,Central Boston Elder Services Roxbury,"['2315 Washington St, Boston, MA 02119, United States']"
179,Centre/Lamartine,Jamaica Plain,2130,30,30,0,0.0,0.0,0.0,30,30,0.0,Rental,Private,,,Centre/Lamartine Jamaica Plain,"['Centre St & Lamartine St, Boston, MA 02130, USA']"
180,Ceylon Field Apts (orig p/o Parkchester 98u),Dorchester,2121,66,66,0,0.0,0.0,0.0,66,66,0.0,Rental,Private,,,Ceylon Field Apts (orig p/o Parkchester 98u) Dorchester,"['288 Columbia Rd, Boston, MA 02121, United States']"
181,Chaisson (VUP),Dorchester,2125,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,Chaisson (VUP) Dorchester,"['7 Sachem St, Boston, MA 02120, United States']"
182,Channel View Condominiums,South Boston,2127,18,0,18,16.0,0.0,16.0,2,0,2.0,Ownership,Private,,,Channel View Condominiums South Boston,"['35 Channel Center St, Boston, MA 02210, United States']"
183,Channel Wharf,South Boston,2127,45,0,45,40.0,0.0,40.0,5,0,5.0,Ownership,Private,,,Channel Wharf South Boston,"['Fort Point Channel, Boston, MA, USA']"
184,Chapman House,East Boston,2128,30,30,0,22.0,22.0,0.0,8,8,0.0,Rental,Private,,,Chapman House East Boston,"['61 Eutaw St, Boston, MA 02118, United States']"
185,Charlame Park Homes 2A&B,Roxbury,2121,41,41,0,0.0,0.0,0.0,41,41,0.0,Rental,Private,Y,Y,Charlame Park Homes 2A&B Roxbury,"['28 N Charlame Ct, Roxbury, MA 02119, United States']"
186,Charlame Park Homes I,Roxbury,2119,92,92,0,0.0,0.0,0.0,92,92,0.0,Rental,Private,,Y,Charlame Park Homes I Roxbury,"['28 N Charlame Ct, Roxbury, MA 02119, United States']"
187,Charles Newtowne Cooperative,Charlestown,2129,262,262,0,0.0,0.0,0.0,262,262,0.0,Rental,Private,,Y,Charles Newtowne Cooperative Charlestown,[]
188,Charles Street Gardens,Charlestown,2129,21,0,21,14.0,0.0,14.0,7,0,7.0,Ownership,Private,,,Charles Street Gardens Charlestown,"['Charles St, Boston, MA, USA']"
189,Charlesbank Cooperative Corporation,Mission Hill,2120,276,0,276,274.0,0.0,274.0,2,0,2.0,Cooperative,Private,,,Charlesbank Cooperative Corporation Mission Hill,"['650 Huntington Ave, Boston, MA 02115, United States']"
190,Charlestown (2-1),Charlestown,2129,1100,1100,0,0.0,0.0,0.0,1100,1100,0.0,Rental,Public,,,Charlestown (2-1) Charlestown,[]
191,Charlestown Elderly,Charlestown,2129,42,42,0,0.0,0.0,0.0,42,42,0.0,Rental,Private,Y,,Charlestown Elderly Charlestown,"['100 Ferrin St, Charlestown, MA 02129, United States']"
192,Charlestown Navy Yard Row Houses,Charlestown,2129,50,0,50,34.0,0.0,34.0,16,0,16.0,Ownership,Private,,,Charlestown Navy Yard Row Houses Charlestown,"['1st Ave &, 3rd St, Boston, MA 02129, United States']"
193,Charlesview Apartments,Brighton,2135,260,240,20,20.0,20.0,0.0,240,220,20.0,Rental,Private,,Y,Charlesview Apartments Brighton,"['123 Antwerp St, Allston, MA 02134, United States', 'Litchfield St, Boston, MA 02134, United States']"
194,Chauncy House,Downtown,2111,87,87,0,0.0,0.0,0.0,87,87,0.0,Rental,Private,Y,Y,Chauncy House Downtown,"['115 Chauncy St #1740, Boston, MA 02111, United States']"
195,Cheriton Grove,West Roxbury,2132,70,70,0,7.0,7.0,0.0,63,63,0.0,Rental,Private,Y,Y,Cheriton Grove West Roxbury,"['20 Cheriton Rd, West Roxbury, MA 02132, United States']"
196,Chestnut Avenue (p/o Self Help Apts),Jamaica Plain,2130,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,Chestnut Avenue (p/o Self Help Apts) Jamaica Plain,"['61 Heath St, Jamaica Plain, MA 02130, United States']"
197,Chestnut Hill Gardens,Brighton,2135,36,0,36,32.0,0.0,32.0,4,0,4.0,Ownership,Private,,,Chestnut Hill Gardens Brighton,"['Chestnut Hill Ave, Boston, MA, USA']"
198,Chestnut Hill Park,Brighton,2135,47,0,47,45.0,0.0,45.0,2,0,2.0,Ownership,Private,,,Chestnut Hill Park Brighton,"['Chestnut Hill Ave, Massachusetts, USA']"
199,Chestnut Hill Waterworks,Brighton,2135,108,0,108,97.0,0.0,97.0,11,0,11.0,Ownership,Private,,,Chestnut Hill Waterworks Brighton,"['2450 Beacon St, Chestnut Hill, MA 02467, United States']"
200,Cheverus School Apts,East Boston,2128,48,48,0,1.0,1.0,0.0,47,47,0.0,Rental,Private,Y,,Cheverus School Apts East Boston,"['10 Moore St, Boston, MA 02128, United States']"
201,Chinagate Apartments,Chinatown,2111,15,15,0,0.0,0.0,0.0,15,15,0.0,Rental,Private,,Y,Chinagate Apartments Chinatown,"['660 Washington St, Boston, MA 02111, United States']"
202,Church St SRO,Dorchester,2122,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,,Church St SRO Dorchester,"['Church St, Boston, MA, USA']"
203,City Square Elderly Housing,Charlestown,2129,120,120,0,1.0,1.0,0.0,119,119,0.0,Rental,Private,Y,Y,City Square Elderly Housing Charlestown,"['100 Ferrin St, Charlestown, MA 02129, United States']"
204,Clarendon Square,South End,2116,60,0,60,51.0,0.0,51.0,9,0,9.0,Ownership,Private,,,Clarendon Square South End,"['198 W Brookline St, Boston, MA 02118, United States']"
205,Clarendon-Warren Condominium,South End,2116,31,0,31,21.0,0.0,21.0,10,0,10.0,Ownership,Private,,,Clarendon-Warren Condominium South End,"['380 Harrison Ave, Boston, MA 02118, United States']"
206,Cleaves Court Apts,Jamaica Plain,2119,36,36,0,0.0,0.0,0.0,36,36,0.0,Rental,Private,,,Cleaves Court Apts Jamaica Plain,"['222 South St, Jamaica Plain, MA 02130, United States']"
207,Cliffmont Condominium,Roslindale,2131,90,0,90,89.0,0.0,89.0,1,0,1.0,Ownership,Private,,,Cliffmont Condominium Roslindale,"['1 Cliffmont St, Boston, MA 02131, United States']"
208,CNY - Harborview Point (Parcel 4),Charlestown,2129,224,224,0,203.0,203.0,0.0,21,21,0.0,Rental,Private,,,CNY - Harborview Point (Parcel 4) Charlestown,[]
209,Codman Commons,Dorchester,2124,28,0,28,11.0,0.0,11.0,17,0,17.0,Ownership,Private,,,Codman Commons Dorchester,"['Codman Commons, 360 Talbot Ave, Boston, MA 02124, USA']"
210,Codman Square Apts (2-51),Dorchester,2124,102,102,0,0.0,0.0,0.0,102,102,0.0,Rental,Public,Y,,Codman Square Apts (2-51) Dorchester,"['587 Washington St, Boston, MA 02124, United States']"
211,Collins (Margaret) Apts (2-26),Jamaica Plain,2130,44,44,0,0.0,0.0,0.0,44,44,0.0,Rental,Public,Y,,Collins (Margaret) Apts (2-26) Jamaica Plain,[]
212,Columbia Road/Lighthouse,Dorchester,2125,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,,Columbia Road/Lighthouse Dorchester,"['543 Columbia Rd, Boston, MA 02125, United States']"
213,Columbia West,Dorchester,2125,57,57,0,0.0,0.0,0.0,57,57,0.0,Rental,Private,,,Columbia West Dorchester,"['392 Columbia Rd #10, Dorchester, MA 02125, United States']"
214,Columbia-Wood Apartments,Dorchester,2121,49,49,0,1.0,1.0,0.0,48,48,0.0,Rental,Private,,Y,Columbia-Wood Apartments Dorchester,"['392 Columbia Rd #10, Dorchester, MA 02125, United States']"
215,Comaven Apartments,Allston,2134,89,89,0,0.0,0.0,0.0,89,89,0.0,Rental,Private,,Y,Comaven Apartments Allston,"['219 Western Ave, Allston, MA 02134, United States']"
216,Commerce Apartments,Jamaica Plain,2130,60,60,0,0.0,0.0,0.0,60,60,0.0,Rental,Private,,,Commerce Apartments Jamaica Plain,"['500-555 Amory St, Boston, MA 02130, United States']"
217,"Commonwealth (2-82,-95,-96,-97)",Brighton,2135,394,394,0,0.0,0.0,0.0,394,394,0.0,Rental,Public,Y,,"Commonwealth (2-82,-95,-96,-97) Brighton",[]
218,Commonwealth Housing,Allston,2134,118,118,0,0.0,0.0,0.0,118,118,0.0,Rental,Private,,Y,Commonwealth Housing Allston,"['1144-1160 Commonwealth Ave, Boston, MA 02134, United States']"
219,Concord Houses,South End,2118,181,181,0,10.0,10.0,0.0,171,171,0.0,Rental,Private,Y,,Concord Houses South End,"['725 Tremont St, Boston, MA 02118, United States']"
220,Concord St. Elder Housing,South End,2118,40,40,0,0.0,0.0,0.0,40,40,0.0,Rental,Private,Y,Y,Concord St. Elder Housing South End,"['725 Tremont St, Boston, MA 02118, United States']"
221,Condor-Havre Garden Apartments,East Boston,2128,7,7,0,0.0,0.0,0.0,7,7,0.0,Rental,Private,,,Condor-Havre Garden Apartments East Boston,"['54 Orleans St # 1, East Boston, MA 02128, United States']"
222,Continuum (Barry's Corner),Allston,2134,325,325,0,283.0,283.0,0.0,42,42,0.0,Rental,Private,,,Continuum (Barry's Corner) Allston,"['219 Western Ave, Allston, MA 02134, United States', '194-216 Western Ave, Boston, MA 02134, United States']"
223,Conway Court,Roslindale,2131,28,28,0,0.0,0.0,0.0,28,28,0.0,Rental,Private,,,Conway Court Roslindale,"['1 Conway St, Roslindale, MA 02131, United States']"
224,Coppersmith Village Ownership,East Boston,2128,15,0,15,7.0,0.0,7.0,8,0,8.0,Ownership,Private,,,Coppersmith Village Ownership East Boston,"['99 Border St, Boston, MA 02128, United States']"
225,Coppersmith Village Rental,East Boston,2128,56,56,0,15.0,15.0,0.0,41,41,0.0,Rental,Private,,,Coppersmith Village Rental East Boston,"['99 Border St, Boston, MA 02128, United States']"
226,Cortes Street SRO,Bay Village,2116,41,41,0,1.0,1.0,0.0,40,40,0.0,Rental,Private,,,Cortes Street SRO Bay Village,"['Cortes St, Boston, MA 02116, USA']"
227,Costello Homes,South Boston,2127,15,0,15,7.0,0.0,7.0,8,0,8.0,Ownership,Private,,,Costello Homes South Boston,"['225 W 2nd St, South Boston, MA 02127, United States']"
228,Cote Village Townhomes,Mattapan,2126,24,24,0,0.0,0.0,0.0,24,24,0.0,Rental,Private,,,Cote Village Townhomes Mattapan,"['820 Cummins Hwy, Mattapan, MA 02126, United States']"
229,Cottage Brook Apartments,Roxbury,2125,147,147,0,0.0,0.0,0.0,147,147,0.0,Rental,Private,,Y,Cottage Brook Apartments Roxbury,"['622 Dudley St, Boston, MA 02125, United States']"
230,Council of Elders,Roxbury,2119,145,145,0,1.0,1.0,0.0,144,144,0.0,Rental,Private,Y,Y,Council of Elders Roxbury,"['2055 Columbus Ave, Boston, MA 02119, United States']"
231,Court St SRO,Downtown,2108,96,96,0,0.0,0.0,0.0,96,96,0.0,Rental,Private,,,Court St SRO Downtown,"['17 Court St #2601, Boston, MA 02108, United States']"
232,Courtyard at Cedar Grove,Dorchester,2124,18,0,18,16.0,0.0,16.0,2,0,2.0,Ownership,Private,,,Courtyard at Cedar Grove Dorchester,"['63 R Boston St, Boston, MA 02125, United States']"
233,Covenant House 202,Brighton,2135,242,242,0,1.0,1.0,0.0,241,241,0.0,Rental,Private,Y,Y,Covenant House 202 Brighton,"['30 Washington St, Boston, MA 02135, United States']"
234,Cox Building,Roxbury,2119,31,31,0,0.0,0.0,0.0,31,31,0.0,Rental,Private,,Y,Cox Building Roxbury,"['Bartlett St &, Dudley St, Boston, MA 02119, United States']"
235,Crawford House Apts,Roxbury,2121,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,Y,Crawford House Apts Roxbury,"['86 Crawford St, Dorchester, MA 02121, United States', '225 Centre St, Roxbury, MA 02119, United States']"
236,Creighton Commons Condominiums,Jamaica Plain,2130,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,,Creighton Commons Condominiums Jamaica Plain,"['241 Perkins St, Boston, MA 02130, United States']"
237,Crittenton Hastings House,Brighton,2135,62,62,0,0.0,0.0,0.0,62,62,0.0,Rental,Private,,,Crittenton Hastings House Brighton,"['Perthshire Rd, Boston, MA 02135, United States', '10 Perthshire Rd, Boston, MA 02135, United States']"
238,Cummins Towers,Roslindale,2131,239,239,0,59.0,59.0,0.0,180,180,0.0,Rental,Private,,,Cummins Towers Roslindale,"['855 American Legion Hwy, Roslindale, MA 02131, United States']"
239,D4 Police Station,South End,2136,26,0,26,24.0,0.0,24.0,2,0,2.0,Ownership,Private,,,D4 Police Station South End,"['650 Harrison Ave, Boston, MA 02118, United States']"
240,Dacia Residence at Beauford Green,Roxbury,2125,29,0,29,0.0,0.0,0.0,29,0,29.0,Ownership,Private,,,Dacia Residence at Beauford Green Roxbury,"['One Washington St Suite 500, Boston, MA 02108, United States']"
241,Danube Apartments,Dorchester,2121,65,65,0,0.0,0.0,0.0,65,65,0.0,Rental,Private,,Y,Danube Apartments Dorchester,"['Boston, MA 02124, United States']"
242,DaRosa (VUP),Dorchester,2122,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,DaRosa (VUP) Dorchester,"['566 Columbia Rd, Dorchester, MA 02125, United States']"
243,Dartmouth Hotel,Charlestown,2129,71,71,0,7.0,7.0,0.0,64,64,0.0,Rental,Private,,,Dartmouth Hotel Charlestown,"['334 Narrow Ln, Charlestown, RI 02813, United States', '4043 Old Post Rd, Charlestown, RI 02813, United States']"
244,DARTMOUTH TCB,Roxbury,2118,83,83,0,0.0,0.0,0.0,83,83,0.0,Rental,Private,,,DARTMOUTH TCB Roxbury,"['185 Dartmouth St 9th floor, Boston, MA 02116, United States']"
245,Davenport Commons,Roxbury,2120,60,0,60,48.0,0.0,48.0,12,0,12.0,Ownership,Private,,,Davenport Commons Roxbury,"['Davenport Commons A, 700 Columbus Ave, Boston, MA 02120, USA']"
246,Davis (VUP),Roxbury,2125,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,Davis (VUP) Roxbury,"['581 Boylston St #401, Boston, MA 02116, United States']"
247,Davison (2-34),Hyde Park,2136,47,47,0,1.0,1.0,0.0,46,46,0.0,Rental,Public,Y,,Davison (2-34) Hyde Park,"['2 Davison St, Boston, MA 02136, USA']"
248,DeMarco (VUP),East Boston,2128,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,DeMarco (VUP) East Boston,"['191 Hanover St, Boston, MA 02113, United States']"
249,Derne Street Lodging Home,Beacon Hill,2114,18,18,0,0.0,0.0,0.0,18,18,0.0,Rental,Private,,,Derne Street Lodging Home Beacon Hill,"['5 Blossom St, Boston, MA 02114, United States']"
250,Dexter Building,Downtown,2111,58,0,58,57.0,0.0,57.0,1,0,1.0,Ownership,Private,,,Dexter Building Downtown,"['453 Washington St, Boston, MA 02111, United States']"
251,DiGirolamo (VUP),East Boston,2128,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,DiGirolamo (VUP) East Boston,"['971 Saratoga St, East Boston, MA 02128, United States']"
252,Dillon (VUP),Dorchester,2122,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,Dillon (VUP) Dorchester,"['150 Mt Vernon St #560, Dorchester, MA 02125, United States']"
